#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
GTF3C2	1	SY							190	large_intestine(20);endometrium(17);lung(12);skin(31);kidney(12);cervix(4);central_nervous_system(8);oesophagus(12);NS(5);upper_aerodigestive_tract(4);biliary_tract(4);stomach(12);soft_tissue(4);urinary_tract(4);liver(15);prostate(9);ovary(2);pancreas(3);haematopoietic_and_lymphoid_tissue(4);pituitary(1);bone(1);breast(6)	1	No GeneCards annotation	0														
IFT172	1	SY					C0687120	GeneTests:Nephronophthisis	316	large_intestine(69);endometrium(19);lung(12);skin(54);autonomic_ganglia(2);kidney(5);thyroid(1);cervix(6);testis(1);central_nervous_system(8);oesophagus(9);NS(5);upper_aerodigestive_tract(3);biliary_tract(2);stomach(31);soft_tissue(4);urinary_tract(9);breast(19);prostate(8);pancreas(8);adrenal_gland(1);salivary_gland(1);haematopoietic_and_lymphoid_tissue(14);ovary(6);bone(5);liver(14)	1	No GeneCards annotation	0														
GCKR	1	MS					C3150714	OMIM:613463	175	upper_aerodigestive_tract(2);adrenal_gland(2);large_intestine(24);stomach(5);soft_tissue(3);kidney(4);cervix(3);haematopoietic_and_lymphoid_tissue(8);endometrium(11);urinary_tract(6);pancreas(5);lung(14);liver(10);skin(54);oesophagus(3);ovary(4);NS(6);thyroid(2);bone(1);breast(8)	1	 This gene encodes a protein belonging to the GCKR subfamily of the SIS (Sugar ISomerase) family of proteins. The	4	http://www.ncbi.nlm.nih.gov/pubmed?term=GCKR[TIAB]+AND+cancer[MH]				0.034	0.97045	1	../MuPIT_Interactive?gm=chr2:27508073						
SLC4A1AP	1	MS							159	upper_aerodigestive_tract(3);thyroid(1);biliary_tract(3);stomach(8);pancreas(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);large_intestine(30);endometrium(12);autonomic_ganglia(1);urinary_tract(9);cervix(3);oesophagus(7);breast(10);skin(24);lung(7);NS(5);prostate(6);bone(2);kidney(6);liver(17)	1	No GeneCards annotation	0					0.077	0.86611	1							
FOSL2	1	SY							113	large_intestine(23);endometrium(8);lung(3);skin(17);autonomic_ganglia(1);kidney(1);thyroid(1);cervix(3);central_nervous_system(3);genital_tract(1);oesophagus(5);NS(2);upper_aerodigestive_tract(6);biliary_tract(4);stomach(11);soft_tissue(3);urinary_tract(2);breast(4);prostate(2);pancreas(5);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(2);ovary(2);liver(3)	1	 The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2. These genes encode leucine zipper proteins that  can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1. As such, the FOS  proteins have been implicated as regulators of cell proliferation, differentiation, and transformation. (provided by  RefSeq)	2	http://www.ncbi.nlm.nih.gov/pubmed?term=FOSL2[TIAB]+AND+cancer[MH]													
PLB1	4	MS							440	large_intestine(68);endometrium(17);lung(21);skin(127);kidney(21);thyroid(3);cervix(1);central_nervous_system(11);oesophagus(7);NS(17);upper_aerodigestive_tract(6);biliary_tract(2);stomach(24);soft_tissue(8);urinary_tract(11);breast(23);prostate(6);pancreas(11);small_intestine(2);haematopoietic_and_lymphoid_tissue(8);ovary(12);bone(2);liver(32)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=PLB1[TIAB]+AND+cancer[MH]				0.362	0.549469595668245	1	../MuPIT_Interactive?gm=chr2:28601926						
PPP1CB	1	SY					CN244048	OMIM:617506	65	upper_aerodigestive_tract(1);cervix(2);large_intestine(14);stomach(4);soft_tissue(1);central_nervous_system(1);adrenal_gland(1);breast(1);biliary_tract(1);endometrium(11);urinary_tract(5);oesophagus(3);liver(4);skin(8);lung(2);ovary(1);NS(1);kidney(1);pancreas(3)	1	 The protein encoded by this gene is one of the three catalytic subunits of protein phosphatase 1 (PP1). PP1 is a	5	http://www.ncbi.nlm.nih.gov/pubmed?term=PPP1CB[TIAB]+AND+cancer[MH]													
TRMT61B	2	SY							62	upper_aerodigestive_tract(2);cervix(1);large_intestine(9);stomach(2);kidney(3);haematopoietic_and_lymphoid_tissue(1);biliary_tract(3);endometrium(7);urinary_tract(1);lung(7);breast(3);skin(7);oesophagus(1);prostate(2);thyroid(1);bone(4);liver(8)	1	No GeneCards annotation	0														
WDR43	3	SY							100	large_intestine(16);endometrium(9);lung(10);skin(10);kidney(3);thyroid(1);cervix(2);central_nervous_system(1);oesophagus(1);NS(1);upper_aerodigestive_tract(3);biliary_tract(2);stomach(6);soft_tissue(4);urinary_tract(1);liver(7);prostate(3);pancreas(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(6);ovary(1);bone(2);breast(9)	1	No GeneCards annotation	0														
FAM179A	8	MS							314	large_intestine(60);endometrium(17);lung(5);skin(92);autonomic_ganglia(1);kidney(3);thyroid(8);cervix(5);central_nervous_system(5);oesophagus(9);NS(11);upper_aerodigestive_tract(8);biliary_tract(4);stomach(9);soft_tissue(6);urinary_tract(3);breast(12);prostate(7);pancreas(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(3);ovary(4);bone(2);liver(35)	1	No GeneCards annotation	0					0.136	0.999998911625817	1	../MuPIT_Interactive?gm=chr2:28999204,chr2:29017807,chr2:29017917						
CLIP4	1	SY							173	large_intestine(33);stomach(22);soft_tissue(1);central_nervous_system(5);haematopoietic_and_lymphoid_tissue(5);breast(5);salivary_gland(1);endometrium(13);urinary_tract(6);oesophagus(6);liver(25);skin(34);lung(7);ovary(1);NS(2);prostate(2);kidney(4);pancreas(1)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=CLIP4[TIAB]+AND+cancer[MH]													
ALK	9	FD					C2751681	OMIM:613014	1093	large_intestine(103);pleura(1);endometrium(39);lung(69);skin(177);stomach(32);kidney(10);thyroid(15);cervix(3);central_nervous_system(6);oesophagus(29);NS(18);upper_aerodigestive_tract(27);biliary_tract(6);autonomic_ganglia(336);soft_tissue(63);urinary_tract(6);liver(39);prostate(20);pancreas(11);adrenal_gland(4);salivary_gland(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(27);thymus(1);ovary(15);bone(6);breast(26)	1	 The 2;5 chromosomal translocation is frequently associated with anaplastic large cell lymphomas (ALCLs). The  translocation creates a fusion gene consisting of the ALK (anaplastic lymphoma kinase) gene and the nucleophosmin  (NPM) gene: the 3' half of ALK, derived from chromosome 2, is fused to the 5' portion of NPM from chromosome 5. A  recent study shows that the product of the NPM-ALK fusion gene is oncogenic. The deduced amino acid sequences reveal  that ALK is a novel receptor protein-tyrosine kinase having a putative transmembrane domain and an extracellular  domain. These sequences are absent in the product of the transforming NPM-ALK gene. ALK shows the greatest sequence  similarity to LTK (leukocyte tyrosine kinase). ALK plays an important role in the development of the brain and exerts  its effects on specific neurons in the nervous system. (provided by RefSeq)	1751	http://www.ncbi.nlm.nih.gov/pubmed?term=ALK[TIAB]+AND+cancer[MH]				0.618	0.908099244805936	1	../MuPIT_Interactive?gm=chr2:29193706					Crizotinib, ALK inhibitors	Oncogene
YPEL5	1	SY							37	large_intestine(12);stomach(3);biliary_tract(2);endometrium(3);lung(3);breast(1);skin(6);prostate(2);kidney(1);pancreas(4)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=YPEL5[TIAB]+AND+cancer[MH]													
CAPN13	3	MS							244	large_intestine(23);endometrium(14);lung(11);skin(94);autonomic_ganglia(1);kidney(3);thyroid(1);cervix(3);central_nervous_system(7);oesophagus(15);NS(10);upper_aerodigestive_tract(3);biliary_tract(1);stomach(11);soft_tissue(1);urinary_tract(3);liver(22);prostate(2);ovary(2);pancreas(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);pituitary(1);bone(2);breast(4)	1	 Calpains are a family of cytosolic calcium-activated cysteine proteases involved in a variety of cellular processes  including apoptosis, cell division, modulation of integrin-cytoskeletal interactions, and synaptic plasticity (Dear et  al., 2000 (PubMed 10964513)). CAPN13 belongs to the calpain large subunit family.(supplied by OMIM)	0					0.02	0.999585717386552	1	../MuPIT_Interactive?gm=chr2:30753164,chr2:30758074						
GALNT14	1	SY							239	upper_aerodigestive_tract(7);thyroid(1);large_intestine(42);stomach(13);soft_tissue(2);central_nervous_system(5);cervix(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);liver(20);endometrium(12);lung(17);breast(5);skin(83);oesophagus(9);ovary(3);NS(4);prostate(1);bone(1);kidney(2);pancreas(5)	1	 This gene encodes a Golgi protein which is a member of the polypeptide N-acetylgalactosaminyltransferase	7	http://www.ncbi.nlm.nih.gov/pubmed?term=GALNT14[TIAB]+AND+cancer[MH]													
CAPN14	6	SG							128	thyroid(1);cervix(3);large_intestine(25);stomach(7);soft_tissue(1);liver(16);haematopoietic_and_lymphoid_tissue(7);thymus(1);biliary_tract(3);endometrium(11);lung(4);breast(3);skin(27);oesophagus(4);ovary(1);NS(6);prostate(4);kidney(2);pancreas(2)	1	 Calpains are a family of cytosolic calcium-activated cysteine proteases involved in a variety of cellular processes  including apoptosis, cell division, modulation of integrin-cytoskeletal interactions, and synaptic plasticity (Dear et  al., 2000 (PubMed 10964513)). CAPN14 belongs to the calpain large subunit family.(supplied by OMIM)	0					0.108	0.995421195023329	1	../MuPIT_Interactive?gm=chr2:31177122,chr2:31187787,chr2:31188318						
XDH	3	SY					C0268118	OMIM:278300;SNOMED CT:Deficiency of xanthine oxidase	501	large_intestine(70);endometrium(23);lung(35);skin(183);autonomic_ganglia(1);kidney(6);thyroid(1);cervix(3);central_nervous_system(13);genital_tract(1);oesophagus(18);NS(15);upper_aerodigestive_tract(3);biliary_tract(6);stomach(20);soft_tissue(9);urinary_tract(9);liver(8);prostate(14);pancreas(14);small_intestine(2);haematopoietic_and_lymphoid_tissue(12);ovary(13);bone(5);breast(17)	1	 Xanthine dehydrogenase belongs to the group of molybdenum-containing hydroxylases involved in the oxidative	15	http://www.ncbi.nlm.nih.gov/pubmed?term=XDH[TIAB]+AND+cancer[MH]													
SRD5A2	1	FI					C0268297	OMIM:264600;SNOMED CT:3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency			1	 This gene encodes a microsomal protein expressed at high levels in androgen-sensitive tissues such as the	312	http://www.ncbi.nlm.nih.gov/pubmed?term=SRD5A2[MH]+AND+cancer[MH]				0.292	0.49865	1							
BIRC6	1	MS							964	large_intestine(155);peritoneum(1);endometrium(101);lung(66);skin(126);meninges(1);kidney(44);thyroid(2);cervix(8);testis(1);central_nervous_system(11);genital_tract(1);oesophagus(36);NS(15);upper_aerodigestive_tract(37);biliary_tract(8);stomach(65);soft_tissue(6);urinary_tract(35);liver(82);prostate(25);pancreas(25);adrenal_gland(6);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(37);ovary(11);bone(5);breast(52)	1	 This gene encodes a protein with a BIR (baculoviral inhibition of apoptosis protein repeat) domain and a UBCc  (ubiquitin-conjugating enzyme E2, catalytic) domain. This protein inhibits apoptosis by facilitating the degradation  of apoptotic proteins by ubiquitination. (provided by RefSeq)	12	http://www.ncbi.nlm.nih.gov/pubmed?term=BIRC6[TIAB]+AND+cancer[MH]				0.1	0.78494	1							
TTC27	2	SY							191	large_intestine(28);endometrium(16);lung(17);skin(32);kidney(11);thyroid(4);cervix(2);central_nervous_system(4);oesophagus(4);NS(3);upper_aerodigestive_tract(2);biliary_tract(2);stomach(15);soft_tissue(1);urinary_tract(3);liver(20);prostate(4);pancreas(6);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);ovary(1);breast(6)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=TTC27[TIAB]+AND+cancer[MH]													
LTBP1	1	MS							523	large_intestine(68);endometrium(27);lung(58);skin(150);autonomic_ganglia(2);kidney(12);thyroid(1);cervix(1);central_nervous_system(5);genital_tract(1);oesophagus(8);NS(15);upper_aerodigestive_tract(11);biliary_tract(6);stomach(33);soft_tissue(8);urinary_tract(13);liver(25);prostate(12);pancreas(14);salivary_gland(1);haematopoietic_and_lymphoid_tissue(23);ovary(7);bone(3);breast(19)	1	 The protein encoded by this gene belongs to the family of latent TGF-beta binding proteins (LTBPs). The secretion	6	http://www.ncbi.nlm.nih.gov/pubmed?term=LTBP1[TIAB]+AND+cancer[MH]				0.192	0.54539	1	../MuPIT_Interactive?gm=chr2:33360729						
CRIM1	1	SY							213	large_intestine(40);endometrium(16);lung(10);skin(29);autonomic_ganglia(2);kidney(1);thyroid(1);cervix(2);central_nervous_system(2);oesophagus(9);parathyroid(1);NS(5);upper_aerodigestive_tract(6);biliary_tract(1);stomach(15);soft_tissue(6);urinary_tract(9);liver(21);prostate(4);pancreas(11);salivary_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(8);ovary(2);breast(9)	1	 This gene encodes a transmembrane protein containing six cysteine-rich repeat domains and an insulin-like growth	1	http://www.ncbi.nlm.nih.gov/pubmed?term=CRIM1[TIAB]+AND+cancer[MH]													
FEZ2	1	SY							76	thyroid(6);upper_aerodigestive_tract(8);large_intestine(31);stomach(2);soft_tissue(2);central_nervous_system(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);kidney(2);endometrium(1);urinary_tract(1);lung(1);liver(6);parathyroid(1);skin(5);ovary(1);NS(2);prostate(2);bone(1)	1	 This gene is an ortholog of the C. elegans unc-76 gene, which is necessary for normal axonal bundling and	0														
HEATR5B	2	SY							442	large_intestine(67);endometrium(29);lung(35);skin(66);autonomic_ganglia(1);kidney(16);thyroid(4);cervix(4);central_nervous_system(7);oesophagus(20);NS(9);upper_aerodigestive_tract(28);biliary_tract(4);stomach(31);soft_tissue(7);urinary_tract(6);liver(41);prostate(13);pancreas(7);adrenal_gland(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(20);ovary(5);bone(4);breast(15)	1	No GeneCards annotation	0														
SULT6B1	3	MS							80	cervix(2);biliary_tract(2);stomach(7);soft_tissue(1);central_nervous_system(2);large_intestine(17);endometrium(4);urinary_tract(3);lung(6);breast(4);skin(15);oesophagus(2);ovary(1);NS(3);kidney(1);liver(10)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=SULT6B1[TIAB]+AND+cancer[TIAB]				0.113	0.959591072445673	1							
CEBPZ	2	ID							174	large_intestine(32);endometrium(19);lung(10);skin(16);kidney(5);thyroid(1);cervix(2);central_nervous_system(1);oesophagus(8);NS(3);upper_aerodigestive_tract(6);biliary_tract(2);stomach(20);soft_tissue(3);urinary_tract(5);liver(14);prostate(4);pancreas(7);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(4);ovary(3);bone(1);breast(6)	1	No GeneCards annotation	0					0.02	0.996426120035622	1	../MuPIT_Interactive?gm=chr2:37228889						
PRKD3	3	MS							190	large_intestine(26);peritoneum(1);endometrium(12);lung(11);skin(28);kidney(7);thyroid(2);cervix(2);central_nervous_system(7);oesophagus(3);NS(1);upper_aerodigestive_tract(16);biliary_tract(2);stomach(13);soft_tissue(1);urinary_tract(9);breast(15);prostate(2);pancreas(3);small_intestine(1);haematopoietic_and_lymphoid_tissue(10);ovary(4);liver(14)	1	 Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by	3	http://www.ncbi.nlm.nih.gov/pubmed?term=PRKD3[TIAB]+AND+cancer[MH]				0.467	0.20332	1							
RMDN2	3	FD									1	No GeneCards annotation	0					0.092	0.991659197158242	1							
CYP1B1	3	MS					C0020302	OMIM:231300	143	thyroid(2);large_intestine(52);stomach(5);soft_tissue(28);central_nervous_system(1);small_intestine(3);haematopoietic_and_lymphoid_tissue(3);biliary_tract(2);endometrium(4);urinary_tract(4);oesophagus(4);breast(5);lung(1);skin(12);meninges(1);ovary(2);pancreas(1);prostate(5);bone(1);kidney(4);liver(3)	1	 This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are	521	http://www.ncbi.nlm.nih.gov/pubmed?term=CYP1B1[TIAB]+AND+cancer[MH]				0.03	0.998336744212027	1	../MuPIT_Interactive?gm=chr2:38075034,chr2:38075247						
GALM	1	MS							70	upper_aerodigestive_tract(6);cervix(1);large_intestine(4);stomach(5);soft_tissue(7);central_nervous_system(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(5);endometrium(4);urinary_tract(8);oesophagus(2);liver(4);skin(10);lung(1);pancreas(1);prostate(4);kidney(2);breast(3)	1	 This gene encodes an enzyme that catalyzes the epimerization of hexose sugars such as glucose and galactose. The	1	http://www.ncbi.nlm.nih.gov/pubmed?term=GALM[TIAB]+AND+cancer[MH]				0.114	0.73576	1	../MuPIT_Interactive?gm=chr2:38689828						
GEMIN6	1	MS							38	upper_aerodigestive_tract(1);cervix(1);large_intestine(3);stomach(1);soft_tissue(4);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(2);breast(2);biliary_tract(1);endometrium(1);lung(4);liver(2);skin(3);oesophagus(4);NS(1);prostate(1);bone(1);kidney(3);pancreas(2)	1	 GEMIN6 is part of a large macromolecular complex, localized to both the cytoplasm and the nucleus, that plays a	0					0.127	0.69487	1							
DHX57	3	MS							276	large_intestine(44);endometrium(27);lung(14);skin(61);kidney(3);thyroid(1);cervix(4);central_nervous_system(2);genital_tract(1);oesophagus(5);NS(14);upper_aerodigestive_tract(6);biliary_tract(3);stomach(13);soft_tissue(3);urinary_tract(8);liver(11);prostate(16);ovary(2);pancreas(4);small_intestine(1);haematopoietic_and_lymphoid_tissue(8);pituitary(1);bone(8);breast(16)	1	No GeneCards annotation	0					0.018	0.98968	1	../MuPIT_Interactive?gm=chr2:38855202						
ARHGEF33	2	MS							143	large_intestine(45);endometrium(12);lung(1);skin(20);kidney(5);thyroid(1);cervix(2);central_nervous_system(1);genital_tract(2);oesophagus(2);NS(1);upper_aerodigestive_tract(4);biliary_tract(2);stomach(1);soft_tissue(7);liver(9);prostate(2);pancreas(8);haematopoietic_and_lymphoid_tissue(5);ovary(5);bone(1);breast(7)	1	No GeneCards annotation	0					0.075	0.87329	1							
CDKL4	1	MS							66	upper_aerodigestive_tract(1);large_intestine(9);stomach(4);soft_tissue(3);haematopoietic_and_lymphoid_tissue(1);endometrium(6);urinary_tract(2);lung(9);breast(6);skin(16);oesophagus(2);ovary(1);NS(1);bone(2);liver(3)	1	No GeneCards annotation	0					0.134	0.67574	1							
MAP4K3	2	SY							214	large_intestine(36);endometrium(18);lung(24);skin(36);kidney(4);cervix(1);central_nervous_system(3);oesophagus(5);NS(8);upper_aerodigestive_tract(5);biliary_tract(1);stomach(8);soft_tissue(3);urinary_tract(6);liver(15);prostate(7);pancreas(4);salivary_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(8);ovary(6);bone(2);breast(12)	1	 This gene encodes a member of the mitogen-activated protein kinase kinase kinase kinase family. The encoded	2	http://www.ncbi.nlm.nih.gov/pubmed?term=MAP4K3[TIAB]+AND+cancer[MH]													
EML4	2	MS							9	upper_aerodigestive_tract(1);central_nervous_system(1);haematopoietic_and_lymphoid_tissue(1);breast(1);skin(1);ovary(2);NS(2)	1	No GeneCards annotation	228	http://www.ncbi.nlm.nih.gov/pubmed?term=EML4[TIAB]+AND+cancer[MH]				0.185	0.716287231785184	1	../MuPIT_Interactive?gm=chr2:42282878,chr2:42288248						
OXER1	3	MS							153	large_intestine(26);endometrium(3);lung(4);skin(23);kidney(3);thyroid(5);cervix(1);central_nervous_system(4);oesophagus(2);NS(2);upper_aerodigestive_tract(43);biliary_tract(2);stomach(6);soft_tissue(1);urinary_tract(4);liver(5);prostate(2);pancreas(3);haematopoietic_and_lymphoid_tissue(5);ovary(2);bone(1);breast(6)	1	No GeneCards annotation	1	http://www.ncbi.nlm.nih.gov/pubmed?term=OXER1[TIAB]+AND+cancer[MH]				0.011	0.99453	1							
HAAO	2	MS					CN482173	OMIM:617660	65	upper_aerodigestive_tract(2);cervix(2);large_intestine(13);stomach(5);soft_tissue(1);central_nervous_system(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);endometrium(4);urinary_tract(2);oesophagus(1);breast(8);thyroid(2);skin(5);lung(2);ovary(1);pancreas(1);prostate(2);kidney(5);liver(4)	1	 3-Hydroxyanthranilate 3,4-dioxygenase is a monomeric cytosolic protein belonging to the family of intramolecular	3	http://www.ncbi.nlm.nih.gov/pubmed?term=HAAO[TIAB]+AND+cancer[MH]				0.077	0.979128211360279	1	../MuPIT_Interactive?gm=chr2:42788564,chr2:42788579						
ZFP36L2	1	SY							227	peritoneum(2);large_intestine(74);endometrium(6);lung(6);skin(18);stomach(5);kidney(6);thyroid(1);cervix(6);central_nervous_system(2);oesophagus(14);upper_aerodigestive_tract(4);biliary_tract(5);autonomic_ganglia(1);soft_tissue(6);urinary_tract(5);liver(14);prostate(4);pancreas(8);salivary_gland(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(23);ovary(2);bone(1);breast(11)	1	 This gene is a member of the TIS11 family of early response genes. Family members are induced by various agonists	4	http://www.ncbi.nlm.nih.gov/pubmed?term=ZFP36L2[TIAB]+AND+cancer[MH]													
THADA	5	MS							363	large_intestine(53);endometrium(35);lung(23);skin(66);autonomic_ganglia(3);kidney(12);thyroid(4);cervix(5);central_nervous_system(6);oesophagus(11);NS(9);upper_aerodigestive_tract(8);biliary_tract(3);stomach(16);soft_tissue(7);urinary_tract(7);liver(28);prostate(12);pancreas(9);adrenal_gland(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(12);ovary(8);bone(7);breast(17)	1	No GeneCards annotation	12	http://www.ncbi.nlm.nih.gov/pubmed?term=THADA[TIAB]+AND+cancer[MH]				0.326	0.942262009645243	1							
C1GALT1C1L	2	SY									1	No GeneCards annotation	0														
PLEKHH2	2	SY							425	large_intestine(56);endometrium(28);lung(27);skin(106);autonomic_ganglia(2);kidney(13);thyroid(4);cervix(4);central_nervous_system(2);oesophagus(10);NS(11);upper_aerodigestive_tract(21);stomach(19);soft_tissue(8);urinary_tract(20);breast(21);prostate(13);pancreas(14);adrenal_gland(1);haematopoietic_and_lymphoid_tissue(10);ovary(5);bone(3);liver(27)	1	No GeneCards annotation	0														
ABCG5	1	SY					C0342907	GeneTests:Sitosterolemia;OMIM:210250	192	large_intestine(31);endometrium(5);lung(11);skin(38);kidney(3);thyroid(1);cervix(3);testis(1);central_nervous_system(7);oesophagus(8);NS(3);upper_aerodigestive_tract(4);stomach(8);soft_tissue(10);urinary_tract(6);liver(21);prostate(10);pituitary(1);pancreas(2);small_intestine(1);haematopoietic_and_lymphoid_tissue(9);ovary(1);bone(2);breast(6)	1	 The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC  proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven  distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the White subfamily.  The protein encoded by this gene functions as a half-transporter to limit intestinal absorption and promote biliary  excretion of sterols. It is expressed in a tissue-specific manner in the liver, colon, and intestine. This gene is  tandemly arrayed on chromosome 2, in a head-to-head orientation with family member ABCG8. Mutations in this gene may  contribute to sterol accumulation and atheroschlerosis, and have been observed in patients with sitosterolemia.  (provided by RefSeq)	9	http://www.ncbi.nlm.nih.gov/pubmed?term=ABCG5[TIAB]+AND+cancer[MH]													
ABCG8	4	MS					C0342907	GeneTests:Sitosterolemia;OMIM:210250	252	large_intestine(32);endometrium(13);lung(29);skin(71);kidney(6);thyroid(4);cervix(6);central_nervous_system(4);oesophagus(7);NS(7);upper_aerodigestive_tract(4);biliary_tract(3);stomach(13);soft_tissue(7);urinary_tract(2);liver(9);prostate(7);pancreas(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(5);ovary(5);bone(4);breast(11)	1	 The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC  proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven  distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the White subfamily.  The protein encoded by this gene functions to exclude non-cholesterol sterol entry at the intestinal level, promote  excretion of cholesterol and sterols into bile, and to facilitate transport of sterols back into the intestinal lumen.  It is expressed in a tissue-specific manner in the liver, intestine, and gallbladder. This gene is tandemly arrayed on  chromosome 2, in a head-to-head orientation with family member ABCG5. Mutations in this gene may contribute to sterol  accumulation and atherosclerosis, and have been observed in patients with sitosterolemia. (provided by RefSeq)	8	http://www.ncbi.nlm.nih.gov/pubmed?term=ABCG8[TIAB]+AND+cancer[MH]				0.286	0.926322054001955	1	../MuPIT_Interactive?gm=chr2:43844604,chr2:43872296,chr2:43877786						
LRPPRC	1	SY					C1857355	OMIM:220111	314	large_intestine(56);endometrium(20);lung(13);skin(32);kidney(14);thyroid(3);cervix(10);central_nervous_system(2);oesophagus(9);NS(5);upper_aerodigestive_tract(29);biliary_tract(1);stomach(11);soft_tissue(6);urinary_tract(8);breast(29);prostate(12);pancreas(9);adrenal_gland(1);small_intestine(3);haematopoietic_and_lymphoid_tissue(7);thymus(1);ovary(8);bone(5);liver(20)	1	 This gene encodes a leucine-rich protein that has multiple pentatricopeptide repeats (PPR). The precise role of	4	http://www.ncbi.nlm.nih.gov/pubmed?term=LRPPRC[TIAB]+AND+cancer[MH]													
SLC3A1	2	MS					C0010691	GeneTests:Cystinuria;OMIM:220100	162	large_intestine(23);endometrium(5);lung(13);skin(40);kidney(9);thyroid(1);central_nervous_system(3);oesophagus(6);NS(5);upper_aerodigestive_tract(3);biliary_tract(2);stomach(10);soft_tissue(2);urinary_tract(4);liver(4);prostate(8);pancreas(5);small_intestine(1);haematopoietic_and_lymphoid_tissue(7);ovary(2);bone(2);breast(7)	1	 This gene encodes a type II membrane glycoprotein which is one of the components of the renal amino acid	0					0.043	0.95567	1	../MuPIT_Interactive?gm=chr2:44320435						
SIX3	1	SY					C0266484	OMIM:269160	99	thyroid(4);cervix(2);biliary_tract(2);stomach(12);soft_tissue(3);liver(3);adrenal_gland(1);upper_aerodigestive_tract(6);haematopoietic_and_lymphoid_tissue(3);thymus(1);large_intestine(24);endometrium(2);urinary_tract(2);lung(7);breast(1);skin(5);oesophagus(8);NS(1);prostate(2);pancreas(10)	1	 This gene encodes a member of the sine oculis homeobox transcription factor family. The encoded protein plays a	5	http://www.ncbi.nlm.nih.gov/pubmed?term=SIX3[TIAB]+AND+cancer[MH]													
